Location Description,Location Description,,,,,,,
ABANDONED BUILDING,PUBLIC OPEN SPACE,,,,,,,
BAR OR TAVERN,COMMERCIAL BUILDING,,,,,Grand Total,214,
BARBER SHOP/BEAUTY SALON,COMMERCIAL BUILDING,,,,,,,
BARBERSHOP,COMMERCIAL BUILDING,,,,,,,
BASEMENT,RESIDENCE,,,,,,,
BOAT / WATERCRAFT,VEHICLE,,,,,,,
BOAT/WATERCRAFT,VEHICLE,,,,,,,
BOWLING ALLEY,COMMERCIAL BUILDING,,,,,,,
BRIDGE,PUBLIC OPEN SPACE,,,,,,,
CAR WASH,PUBLIC OPEN SPACE,,,,,,,
CEMETARY,PUBLIC OPEN SPACE,,,,,,,
CHA APARTMENT,RESIDENCE,,,,,,,
CHA BREEZEWAY,RESIDENCE,,,,,,,
CHA ELEVATOR,RESIDENCE,,,,,,,
CHA GROUNDS,RESIDENCE,,,,,,,
CHA HALLWAY,RESIDENCE,,,,,,,
CHA HALLWAY / STAIRWELL / ELEVATOR,RESIDENCE,,,,,,,
CHA HALLWAY/STAIRWELL/ELEVATOR,RESIDENCE,,,,,,,
CHA LOBBY,RESIDENCE,,,,,,,
CHA PARKING LOT,PUBLIC OPEN SPACE,,,,,,,
CHA PARKING LOT / GROUNDS,PUBLIC OPEN SPACE,,,,,,,
CHA PARKING LOT/GROUNDS,PUBLIC OPEN SPACE,,,,,,,
CHA PLAY LOT,RESIDENCE,,,,,,,
CHA STAIRWELL,RESIDENCE,,,,,,,
CHURCH,CHURCH,,,,,,,
CHURCH / SYNAGOGUE / PLACE OF WORSHIP,CHURCH,,,,,,,
CHURCH PROPERTY,CHURCH,,,,,,,
CHURCH/SYNAGOGUE/PLACE OF WORSHIP,CHURCH,,,,,,,
CLEANERS/LAUNDROMAT,COMMERCIAL BUILDING,,,,,,,
CLEANING STORE,COMMERCIAL BUILDING,,,,,,,
CLUB,COMMERCIAL BUILDING,,,,,,,
COACH HOUSE,,,,,,,,
COIN OPERATED MACHINE,COMMERCIAL BUILDING,,,,,,,
COLLEGE / UNIVERSITY - GROUNDS,EDUCATIONAL BUILDING,,,,,,,
COLLEGE / UNIVERSITY - RESIDENCE HALL,EDUCATIONAL BUILDING,,,,,,,
COLLEGE/UNIVERSITY GROUNDS,EDUCATIONAL BUILDING,,,,,,,
COLLEGE/UNIVERSITY RESIDENCE HALL,EDUCATIONAL BUILDING,,,,,,,
COMMERCIAL / BUSINESS OFFICE,COMMERCIAL BUILDING,,,,,,,
CONSTRUCTION SITE,PUBLIC OPEN SPACE,,,,,,,
CONVENIENCE STORE,COMMERCIAL BUILDING,,,,,,,
COUNTY JAIL,CITY/FEDERAL INSTALLATIONS,,,,,,,
CREDIT UNION,COMMERCIAL BUILDING,,,,,,,
"CTA ""L"" PLATFORM",CITY/FEDERAL INSTALLATIONS,,,,,,,
"CTA ""L"" TRAIN",CITY/FEDERAL INSTALLATIONS,,,,,,,
CTA BUS,CITY/FEDERAL INSTALLATIONS,,,,,,,
CTA BUS STOP,CITY/FEDERAL INSTALLATIONS,,,,,,,
CTA GARAGE / OTHER PROPERTY,CITY/FEDERAL INSTALLATIONS,,,,,,,
CTA PARKING LOT / GARAGE / OTHER PROPERTY,PUBLIC OPEN SPACE,,,,,,,
CTA PLATFORM,CITY/FEDERAL INSTALLATIONS,,,,,,,
CTA PROPERTY,CITY/FEDERAL INSTALLATIONS,,,,,,,
CTA STATION,CITY/FEDERAL INSTALLATIONS,,,,,,,
CTA SUBWAY STATION,CITY/FEDERAL INSTALLATIONS,,,,,,,
CTA TRACKS - RIGHT OF WAY,CITY/FEDERAL INSTALLATIONS,,,,,,,
CTA TRAIN,CITY/FEDERAL INSTALLATIONS,,,,,,,
CURRENCY EXCHANGE,COMMERCIAL BUILDING,,,,,,,
DAY CARE CENTER,EDUCATIONAL BUILDING,,,,,,,
DELIVERY TRUCK,VEHICLE,,,,,,,
DEPARTMENT STORE,COMMERCIAL BUILDING,,,,,,,
DRIVEWAY,PUBLIC OPEN SPACE,,,,,,,
DRIVEWAY - RESIDENTIAL,RESIDENCE,,,,,,,
DRUG STORE,COMMERCIAL BUILDING,,,,,,,
DUMPSTER,PUBLIC OPEN SPACE,,,,,,,
ELEVATOR,RESIDENCE,,,,,,,
EXPRESSWAY EMBANKMENT,PUBLIC OPEN SPACE,,,,,,,
FACTORY,COMMERCIAL BUILDING,,,,,,,
FACTORY / MANUFACTURING BUILDING,COMMERCIAL BUILDING,,,,,,,
FACTORY/MANUFACTURING BUILDING,COMMERCIAL BUILDING,,,,,,,
FARM,COMMERCIAL BUILDING,,,,,,,
FEDERAL BUILDING,CITY/FEDERAL INSTALLATIONS,,,,,,,
FIRE STATION,CITY/FEDERAL INSTALLATIONS,,,,,,,
FOREST PRESERVE,CITY/FEDERAL INSTALLATIONS,,,,,,,
FUNERAL PARLOR,COMMERCIAL BUILDING,,,,,,,
GANGWAY,,,,,,,,
GARAGE,RESIDENCE,,,,,,,
GARAGE/AUTO REPAIR,COMMERCIAL BUILDING,,,,,,,
GAS STATION,COMMERCIAL BUILDING,,,,,,,
GAS STATION DRIVE/PROP.,COMMERCIAL BUILDING,,,,,,,
GOVERNMENT BUILDING,CITY/FEDERAL INSTALLATIONS,,,,,,,
GOVERNMENT BUILDING / PROPERTY,CITY/FEDERAL INSTALLATIONS,,,,,,,
GOVERNMENT BUILDING/PROPERTY,CITY/FEDERAL INSTALLATIONS,,,,,,,
GROCERY FOOD STORE,COMMERCIAL BUILDING,,,,,,,
HALLWAY,COMMERCIAL BUILDING,,,,,,,
HIGHWAY / EXPRESSWAY,PUBLIC OPEN SPACE,,,,,,,
HIGHWAY/EXPRESSWAY,PUBLIC OPEN SPACE,,,,,,,
HORSE STABLE,COMMERCIAL BUILDING,,,,,,,
HOSPITAL,HOSPITAL,,,,,,,
HOSPITAL BUILDING / GROUNDS,HOSPITAL,,,,,,,
HOSPITAL BUILDING/GROUNDS,HOSPITAL,,,,,,,
HOTEL,COMMERCIAL BUILDING,,,,,,,
HOTEL / MOTEL,COMMERCIAL BUILDING,,,,,,,
HOTEL/MOTEL,COMMERCIAL BUILDING,,,,,,,
HOUSE,RESIDENCE,,,,,,,
JAIL / LOCK-UP FACILITY,CITY/FEDERAL INSTALLATIONS,,,,,,,
JUNK YARD/GARBAGE DUMP,PUBLIC OPEN SPACE,,,,,,,
KENNEL,COMMERCIAL BUILDING,,,,,,,
LAGOON,PUBLIC OPEN SPACE,,,,,,,
LAKE,PUBLIC OPEN SPACE,,,,,,,
LAKEFRONT / WATERFRONT / RIVERBANK,PUBLIC OPEN SPACE,,,,,,,
LAKEFRONT/WATERFRONT/RIVERBANK,PUBLIC OPEN SPACE,,,,,,,
LAUNDRY ROOM,COMMERCIAL BUILDING,,,,,,,
LIBRARY,,,,,,,,
LIQUOR STORE,COMMERCIAL BUILDING,,,,,,,
LIVERY AUTO,PUBLIC OPEN SPACE,,,,,,,
LIVERY STAND OFFICE,PUBLIC OPEN SPACE,,,,,,,
LOADING DOCK,PUBLIC OPEN SPACE,,,,,,,
MEDICAL / DENTAL OFFICE,HOSPITAL,,,,,,,
MEDICAL/DENTAL OFFICE,HOSPITAL,,,,,,,
MOTEL,COMMERCIAL BUILDING,,,,,,,
MOVIE HOUSE / THEATER,COMMERCIAL BUILDING,,,,,,,
MOVIE HOUSE/THEATER,COMMERCIAL BUILDING,,,,,,,
NEWSSTAND,PUBLIC OPEN SPACE,,,,,,,
NURSING / RETIREMENT HOME,HOSPITAL,,,,,,,
NURSING HOME,HOSPITAL,,,,,,,
NURSING HOME/RETIREMENT HOME,HOSPITAL,,,,,,,
OFFICE,COMMERCIAL BUILDING,,,,,,,
OTHER,OTHER,,,,,,,
OTHER (SPECIFY),OTHER,,,,,,,
OTHER COMMERCIAL TRANSPORTATION,VEHICLE,,,,,,,
OTHER RAILROAD PROP / TRAIN DEPOT,OTHER,,,,,,,
OTHER RAILROAD PROPERTY / TRAIN DEPOT,OTHER,,,,,,,
PARK PROPERTY,CITY/FEDERAL INSTALLATIONS,,,,,,,
PARKING LOT,PUBLIC OPEN SPACE,,,,,,,
PARKING LOT / GARAGE (NON RESIDENTIAL),PUBLIC OPEN SPACE,,,,,,,
PARKING LOT/GARAGE(NON.RESID.),PUBLIC OPEN SPACE,,,,,,,
PAWN SHOP,COMMERCIAL BUILDING,,,,,,,
POLICE FACILITY / VEHICLE PARKING LOT,PUBLIC OPEN SPACE,,,,,,,
POLICE FACILITY/VEH PARKING LOT,PUBLIC OPEN SPACE,,,,,,,
POOL ROOM,COMMERCIAL BUILDING,,,,,,,
POOLROOM,COMMERCIAL BUILDING,,,,,,,
PORCH,RESIDENCE,,,,,,,
PRAIRIE,PUBLIC OPEN SPACE,,,,,,,
PUBLIC GRAMMAR SCHOOL,EDUCATIONAL BUILDING,,,,,,,
PUBLIC HIGH SCHOOL,EDUCATIONAL BUILDING,,,,,,,
RAILROAD PROPERTY,CITY/FEDERAL INSTALLATIONS,,,,,,,
RESIDENCE,RESIDENCE,,,,,,,
RESIDENCE - GARAGE,RESIDENCE,,,,,,,
RESIDENCE - PORCH / HALLWAY,RESIDENCE,,,,,,,
RESIDENCE - YARD (FRONT / BACK),RESIDENCE,,,,,,,
RESIDENCE PORCH/HALLWAY,RESIDENCE,,,,,,,
RESIDENCE-GARAGE,RESIDENCE,,,,,,,
RESIDENTIAL YARD (FRONT/BACK),RESIDENCE,,,,,,,
RESTAURANT,COMMERCIAL BUILDING,,,,,,,
RETAIL STORE,COMMERCIAL BUILDING,,,,,,,
RIVER,PUBLIC OPEN SPACE,,,,,,,
RIVER BANK,PUBLIC OPEN SPACE,,,,,,,
ROOMING HOUSE,RESIDENCE,,,,,,,
SAVINGS AND LOAN,COMMERCIAL BUILDING,,,,,,,
SCHOOL - PRIVATE BUILDING,EDUCATIONAL BUILDING,,,,,,,
SCHOOL - PRIVATE GROUNDS,EDUCATIONAL BUILDING,,,,,,,
SCHOOL - PUBLIC BUILDING,EDUCATIONAL BUILDING,,,,,,,
SCHOOL - PUBLIC GROUNDS,EDUCATIONAL BUILDING,,,,,,,
SCHOOL YARD,EDUCATIONAL BUILDING,,,,,,,
"SCHOOL, PRIVATE, BUILDING",EDUCATIONAL BUILDING,,,,,,,
"SCHOOL, PRIVATE, GROUNDS",EDUCATIONAL BUILDING,,,,,,,
"SCHOOL, PUBLIC, BUILDING",EDUCATIONAL BUILDING,,,,,,,
"SCHOOL, PUBLIC, GROUNDS",EDUCATIONAL BUILDING,,,,,,,
SEWER,PUBLIC OPEN SPACE,,,,,,,
SIDEWALK,PUBLIC OPEN SPACE,,,,,,,
SMALL RETAIL STORE,COMMERCIAL BUILDING,,,,,,,
SPORTS ARENA / STADIUM,COMMERCIAL BUILDING,,,,,,,
SPORTS ARENA/STADIUM,COMMERCIAL BUILDING,,,,,,,
STAIRWELL,RESIDENCE,,,,,,,
STREET,PUBLIC OPEN SPACE,,,,,,,
TAVERN,COMMERCIAL BUILDING,,,,,,,
TAVERN / LIQUOR STORE,COMMERCIAL BUILDING,,,,,,,
TAVERN/LIQUOR STORE,COMMERCIAL BUILDING,,,,,,,
TAXI CAB,VEHICLE,,,,,,,
TAXICAB,VEHICLE,,,,,,,
TRAILER,VEHICLE,,,,,,,
TRUCK,VEHICLE,,,,,,,
TRUCKING TERMINAL,COMMERCIAL BUILDING,,,,,,,
VACANT LOT,PUBLIC OPEN SPACE,,,,,,,
VACANT LOT / LAND,PUBLIC OPEN SPACE,,,,,,,
VACANT LOT/LAND,PUBLIC OPEN SPACE,,,,,,,
VEHICLE - COMMERCIAL,VEHICLE,,,,,,,
VEHICLE - COMMERCIAL: ENTERTAINMENT / PARTY BUS,VEHICLE,,,,,,,
VEHICLE - COMMERCIAL: TROLLEY BUS,VEHICLE,,,,,,,
VEHICLE - DELIVERY TRUCK,VEHICLE,,,,,,,
VEHICLE - OTHER RIDE SERVICE,VEHICLE,,,,,,,
"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",VEHICLE,,,,,,,
"VEHICLE - OTHER RIDE SHARE SERVICE (LYFT, UBER, ETC.)",VEHICLE,,,,,,,
VEHICLE NON-COMMERCIAL,VEHICLE,,,,,,,
VEHICLE-COMMERCIAL,VEHICLE,,,,,,,
VEHICLE-COMMERCIAL - ENTERTAINMENT/PARTY BUS,VEHICLE,,,,,,,
VEHICLE-COMMERCIAL - TROLLEY BUS,VEHICLE,,,,,,,
VESTIBULE,RESIDENCE,,,,,,,
WAREHOUSE,COMMERCIAL BUILDING,,,,,,,
WOODED AREA,PUBLIC OPEN SPACE,,,,,,,
YARD,RESIDENCE,,,,,,,
YMCA,COMMERCIAL BUILDING,,,,,,,
